,img,url,cls
0,ec9355d6-f229-11ea-baba-acde48001122,http://farm1.static.flickr.com/130/419165433_965f57ebed.jpg,jean
1,eca7f6d0-f229-11ea-baba-acde48001122,http://static.flickr.com/1208/828106157_41edaa5e3e.jpg,jean
2,eeddd0f0-f229-11ea-baba-acde48001122,http://cn.made-in-china.com/image/2f0j01QRITUNpBuaudM/女装怀旧磨烂牛仔裤+-+0651120.jpg,jean
3,ef108824-f229-11ea-baba-acde48001122,http://3.bp.blogspot.com/_bkoB7t6j614/Rk892t2TvkI/AAAAAAAAAAM/OpJhGxCTELY/s400/PICT0020.JPG,jean
4,ef680be4-f229-11ea-baba-acde48001122,http://www.viatrading.com/assets/Image/Product/detailsbig/CKJeans/CK109.JPG,jean
5,f01cfde2-f229-11ea-baba-acde48001122,http://static.flickr.com/1091/1209535009_645970a5de.jpg,jean
6,f2f279e8-f229-11ea-baba-acde48001122,http://cn.made-in-china.com/image/2f0j01IeAtNTzhJQukM/牛仔裤.jpg,jean
7,f3e70f8a-f229-11ea-baba-acde48001122,http://farm3.static.flickr.com/2292/2372250111_3dbe42920c.jpg,jean
8,f42e91a2-f229-11ea-baba-acde48001122,http://bananarepublic.gap.com/Asset_Archive/BRWeb/content/0001/093/118/assets/denim_WPT.jpg,jean
9,f45d3d2c-f229-11ea-baba-acde48001122,http://farm3.static.flickr.com/2146/2418738369_46b1f8931d.jpg,jean
10,08ec0fca-f22a-11ea-baba-acde48001122,http://es.dreamstime.com/pantalones-vaqueros-modelo-atractivos-del-diseñador-que-desgastan-thumb8371153.jpg,jean
11,0b2d2a6c-f22a-11ea-baba-acde48001122,http://farm1.static.flickr.com/47/134029948_0dceb14f03.jpg,jean
12,0b5328e8-f22a-11ea-baba-acde48001122,http://farm4.static.flickr.com/3060/3252364526_b3a9793112.jpg,jean
13,217e2a5a-f22a-11ea-baba-acde48001122,http://cn.made-in-china.com/image/2f0j01pCyakMtRYQqNM/库存牛仔裤（aka-a33p57）.jpg,jean
14,236ca7f6-f22a-11ea-baba-acde48001122,http://i01.c.aliimg.com/news/upload/3000103/1_1195435662012.jpg,jean
15,246cf282-f22a-11ea-baba-acde48001122,http://2.bp.blogspot.com/_t_79veVuNc4/SUgzbfmWagI/AAAAAAAAA1A/M-7CslUxOm0/s320/WE.bmp,jean
16,2485210e-f22a-11ea-baba-acde48001122,http://farm4.static.flickr.com/3153/2686281401_dfe0e7c163.jpg,jean
17,24abf126-f22a-11ea-baba-acde48001122,http://farm1.static.flickr.com/176/390711652_b8e0da85f9.jpg,jean
18,2620f4a2-f22a-11ea-baba-acde48001122,http://cn.made-in-china.com/image/2f0j01pMwTLrGPaYqyM/牛仔裤加工.jpg,jean
19,26d80bba-f22a-11ea-baba-acde48001122,http://farm1.static.flickr.com/144/376059097_22280a4f4b.jpg,jean
20,26eda0e2-f22a-11ea-baba-acde48001122,http://farm4.static.flickr.com/3338/3475675421_0521c46247.jpg,jean
21,32544d5a-f22a-11ea-baba-acde48001122,http://www.viatrading.com/assets/Image/Product/detailsbig/CKJeans/CK113.JPG,jean
22,345c6e20-f22a-11ea-baba-acde48001122,http://img.alibaba.com/photo/51222775/Trousers.jpg,jean
23,34db75da-f22a-11ea-baba-acde48001122,http://farm4.static.flickr.com/3325/3317698859_f6cb1d21b5.jpg,jean
24,41a05f56-f22a-11ea-baba-acde48001122,http://cn.made-in-china.com/image/2f0j01zCBaeETdYUrJM/蓝色童装牛仔裤（K003）.jpg,jean
25,41fab226-f22a-11ea-baba-acde48001122,http://www.simplyruff.com/denim_trousers/denim_trouser7_big.jpg,jean
26,427a90a4-f22a-11ea-baba-acde48001122,http://image01.bonprix.de/bonprixbilder/bundles/7er/gross/var1/bf/u0/bfu057x07.jpg,jean
27,42b4dbe2-f22a-11ea-baba-acde48001122,http://farm4.static.flickr.com/3168/2658709626_9e1b9e653a.jpg,jean
28,448e8094-f22a-11ea-baba-acde48001122,http://image01.bonprix.de/bonprixbilder/bundles/7er/gross/var1/bg/m0/bgm086x01.jpg,jean
29,45d129ca-f22a-11ea-baba-acde48001122,https://www.wwmerc.com/mas_assets/thumb/CM8388.jpg,jean
30,45f2ac58-f22a-11ea-baba-acde48001122,http://farm4.static.flickr.com/3077/3201301384_3036bf4fee.jpg,jean
31,47a3e38c-f22a-11ea-baba-acde48001122,http://lh4.ggpht.com/_fGzn3KcDhlU/SbEWaOv2qGI/AAAAAAAAFMI/bBm82RUmh20/s576/1410M085-CK原单后口袋绣绕圆浅色男牛仔裤%20蓝_28码到38码(30腰2尺3重660棉).jpg,jean
32,5de33d14-f22a-11ea-baba-acde48001122,http://cn.made-in-china.com/image/2f0j01mCbaEoWyhgqQM/牛仔裤-5.jpg,jean
33,5e055ade-f22a-11ea-baba-acde48001122,http://farm1.static.flickr.com/175/424449938_d4ca9a019b.jpg,jean
34,5ff0f33a-f22a-11ea-baba-acde48001122,http://farm3.static.flickr.com/2094/1526161122_be353b1f7d.jpg,jean
35,6508e404-f22a-11ea-baba-acde48001122,http://lib.store.yahoo.net/lib/denimexpress/58542-3744-m.jpg,jean
36,661c29aa-f22a-11ea-baba-acde48001122,"http://slimages.macys.com/is/image/MCY/products/6/optimized/504326_fpx.tif?bgc=255,255,255&wid=327&qlt=90,0&layer=comp&op_sharpen=0&resMode=bicub&op_usm=0.7,1.0,0.5,0&fmt=jpeg",jean
37,698b073c-f22a-11ea-baba-acde48001122,http://cn.made-in-china.com/image/4f0j01rMfEYGvSuUuqM/牛仔裤.jpg,jean
38,69b6db82-f22a-11ea-baba-acde48001122,http://farm4.static.flickr.com/3133/2924666479_9b123ffa93.jpg,jean
39,6a295f90-f22a-11ea-baba-acde48001122,http://lib.store.yahoo.net/lib/blaec/serf-bolan.jpg,jean
40,6b8036c0-f22a-11ea-baba-acde48001122,http://cn.made-in-china.com/image/2f0j01CaETABtqFQEuM/牛仔裤.jpg,jean
41,6e846d0a-f22a-11ea-baba-acde48001122,http://ecx.images-amazon.com/images/I/412AblLZ1uL._SL500_.jpg,jean
42,6f1ad2d6-f22a-11ea-baba-acde48001122,http://farm2.static.flickr.com/1042/1487589696_e1d05225c6.jpg,jean
43,7133fc64-f22a-11ea-baba-acde48001122,http://cn.made-in-china.com/image/2f0j01uBvEpyNKCacrM/西牛牛仔裤.jpg,jean
44,7302d40c-f22a-11ea-baba-acde48001122,http://i219.photobucket.com/albums/cc290/biggirls/2008_0613black-coats0008.jpg,jean
45,89c6ec8c-f22a-11ea-baba-acde48001122,http://cn.made-in-china.com/image/2f0j01eBbtIGrEvzoMM/男式牛仔裤.jpg,jean
46,8d9f2e1e-f22a-11ea-baba-acde48001122,http://www.queenbee.com.au/database/images/prod_913.jpg,jean
